<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.30	02:04:00	21464.95	21472.95	21464.95	21468.65	117	0	290
2024.12.30	02:05:00	21468.85	21471.45	21462.35	21463.45	131	0	290
2024.12.30	02:06:00	21463.35	21467.05	21462.65	21465.05	73	0	290
2024.12.30	02:07:00	21465.55	21476.65	21465.05	21474.85	83	0	290
2024.12.30	02:08:00	21475.05	21478.05	21472.15	21478.05	120	0	290
2024.12.30	02:09:00	21478.15	21478.45	21473.15	21476.85	84	0	290
2024.12.30	02:10:00	21476.15	21477.85	21470.95	21472.55	96	0	290
2024.12.30	02:11:00	21472.65	21475.65	21471.05	21475.15	61	0	290
2024.12.30	02:12:00	21475.35	21480.35	21475.05	21480.15	72	0	290
2024.12.30	02:13:00	21479.15	21480.45	21478.05	21480.15	54	0	290
2024.12.30	02:14:00	21481.15	21481.15	21475.35	21476.15	65	0	290
2024.12.30	02:15:00	21475.15	21475.15	21466.35	21472.85	120	0	290
2024.12.30	02:16:00	21473.55	21476.65	21472.55	21474.35	76	0	290
2024.12.30	02:17:00	21474.55	21475.95	21470.55	21475.85	83	0	290
2024.12.30	02:18:00	21475.85	21480.15	21474.45	21474.45	67	0	290
2024.12.30	02:19:00	21474.35	21475.85	21472.35	21473.55	52	0	290
2024.12.30	02:20:00	21473.65	21478.05	21473.65	21475.85	67	0	290
2024.12.30	02:21:00	21475.65	21475.65	21472.85	21473.35	59	0	280
2024.12.30	02:22:00	21473.05	21477.35	21473.05	21477.15	66	0	280
2024.12.30	02:23:00	21476.95	21487.65	21476.95	21485.85	88	0	290
2024.12.30	02:24:00	21484.35	21487.55	21484.35	21485.85	74	0	290
2024.12.30	02:25:00	21485.45	21487.45	21481.15	21487.45	77	0	290
2024.12.30	02:26:00	21487.35	21490.95	21482.65	21483.55	88	0	290
2024.12.30	02:27:00	21483.35	21490.85	21483.35	21488.95	82	0	290
2024.12.30	02:28:00	21488.85	21491.65	21486.55	21491.35	71	0	290
2024.12.30	02:29:00	21491.35	21495.45	21490.95	21493.45	108	0	280
2024.12.30	02:30:00	21493.35	21495.65	21491.85	21495.65	87	0	290
2024.12.30	02:31:00	21495.65	21496.35	21493.45	21493.95	71	0	290
2024.12.30	02:32:00	21494.65	21496.55	21492.05	21493.65	71	0	290
2024.12.30	02:33:00	21493.55	21495.45	21488.15	21488.35	64	0	290
2024.12.30	02:34:00	21488.45	21491.85	21486.95	21491.65	61	0	240
2024.12.30	02:35:00	21491.95	21492.05	21486.95	21490.35	79	0	240
2024.12.30	02:36:00	21490.25	21490.25	21481.95	21485.35	121	0	260
2024.12.30	02:37:00	21485.85	21489.65	21484.65	21486.45	94	0	280
2024.12.30	02:38:00	21486.65	21489.05	21483.15	21483.45	59	0	290
2024.12.30	02:39:00	21483.65	21484.55	21481.95	21482.15	46	0	290
2024.12.30	02:40:00	21482.05	21484.55	21478.45	21479.55	108	0	290
2024.12.30	02:41:00	21478.95	21483.45	21477.35	21482.65	62	0	290
2024.12.30	02:42:00	21483.05	21487.35	21482.65	21486.45	70	0	290
2024.12.30	02:43:00	21486.15	21491.95	21484.05	21490.75	89	0	280
2024.12.30	02:44:00	21489.85	21492.35	21488.05	21490.55	73	0	280
2024.12.30	02:45:00	21490.65	21496.35	21490.65	21494.65	80	0	280
2024.12.30	02:46:00	21494.95	21496.55	21490.95	21496.35	92	0	280
2024.12.30	02:47:00	21496.45	21497.35	21493.35	21493.55	63	0	290
2024.12.30	02:48:00	21493.55	21493.85	21491.05	21493.35	44	0	290
2024.12.30	02:49:00	21493.15	21500.35	21492.95	21499.45	92	0	280
2024.12.30	02:50:00	21499.15	21500.05	21493.35	21493.65	63	0	290
2024.12.30	02:51:00	21493.55	21495.85	21493.35	21494.65	62	0	290
2024.12.30	02:52:00	21494.55	21496.25	21490.15	21491.15	45	0	270
2024.12.30	02:53:00	21490.95	21493.95	21490.35	21493.75	76	0	280
2024.12.30	02:54:00	21493.65	21495.35	21491.95	21492.65	75	0	270
2024.12.30	02:55:00	21492.95	21493.55	21487.75	21488.75	63	0	250
2024.12.30	02:56:00	21489.15	21490.55	21486.65	21490.05	56	0	250
2024.12.30	02:57:00	21489.85	21490.55	21488.05	21490.05	36	0	220
2024.12.30	02:58:00	21490.15	21491.45	21488.85	21490.25	33	0	210
2024.12.30	02:59:00	21490.25	21493.65	21490.15	21490.15	60	0	190
2024.12.30	03:00:00	21489.65	21491.15	21486.95	21487.45	82	0	180
2024.12.30	03:01:00	21487.25	21488.45	21484.75	21487.65	68	0	170
2024.12.30	03:02:00	21487.45	21489.15	21486.25	21487.25	80	0	190
2024.12.30	03:03:00	21487.45	21487.45	21484.65	21485.55	59	0	210
2024.12.30	03:04:00	21485.75	21486.55	21479.85	21481.35	67	0	220
2024.12.30	03:05:00	21480.95	21483.35	21479.65	21480.95	90	0	230
2024.12.30	03:06:00	21481.05	21484.55	21479.75	21482.65	75	0	230
2024.12.30	03:07:00	21482.65	21483.45	21480.65	21480.65	88	0	220
2024.12.30	03:08:00	21480.35	21480.45	21464.65	21468.85	148	0	230
2024.12.30	03:09:00	21468.95	21474.15	21468.05	21470.55	106	0	290
2024.12.30	03:10:00	21468.95	21474.35	21467.15	21472.35	112	0	290
2024.12.30	03:11:00	21472.05	21473.45	21470.95	21473.45	67	0	290
2024.12.30	03:12:00	21474.05	21475.65	21467.95	21468.45	99	0	290
2024.12.30	03:13:00	21468.35	21468.95	21461.35	21462.35	117	0	290
2024.12.30	03:14:00	21461.65	21462.85	21459.55	21459.55	90	0	290
2024.12.30	03:15:00	21459.65	21466.35	21459.15	21463.95	91	0	290
2024.12.30	03:16:00	21464.35	21468.95	21462.45	21468.45	83	0	290
2024.12.30	03:17:00	21468.85	21469.95	21468.65	21469.65	51	0	270
2024.12.30	03:18:00	21469.75	21472.75	21469.55	21472.35	85	0	260
2024.12.30	03:19:00	21472.25	21475.75	21472.05	21475.25	79	0	250
2024.12.30	03:20:00	21475.05	21475.25	21465.85	21467.25	122	0	220
2024.12.30	03:21:00	21467.25	21471.25	21466.75	21470.55	64	0	220
2024.12.30	03:22:00	21470.55	21475.15	21470.45	21472.85	49	0	220
2024.12.30	03:23:00	21472.15	21475.15	21471.85	21475.15	60	0	240
2024.12.30	03:24:00	21474.65	21476.15	21474.55	21475.35	47	0	230
2024.12.30	03:25:00	21475.65	21479.95	21474.65	21478.35	79	0	220
2024.12.30	03:26:00	21478.05	21480.55	21476.75	21479.35	48	0	250
2024.12.30	03:27:00	21479.55	21483.25	21479.05	21483.05	72	0	230
2024.12.30	03:28:00	21483.05	21483.95	21482.15	21483.65	76	0	240
2024.12.30	03:29:00	21483.65	21483.65	21477.55	21478.35	61	0	250
2024.12.30	03:30:00	21478.05	21482.35	21478.05	21480.85	103	0	200
2024.12.30	03:31:00	21480.85	21481.55	21479.45	21479.85	76	0	200
2024.12.30	03:32:00	21479.85	21480.35	21476.55	21477.05	91	0	200
2024.12.30	03:33:00	21477.15	21477.75	21475.35	21476.35	82	0	200
2024.12.30	03:34:00	21476.55	21477.75	21475.15	21475.15	60	0	200
2024.12.30	03:35:00	21475.35	21476.85	21473.35	21474.85	59	0	180
2024.12.30	03:36:00	21474.95	21476.15	21473.85	21474.95	32	0	180
2024.12.30	03:37:00	21475.15	21475.45	21468.65	21474.05	99	0	180
2024.12.30	03:38:00	21473.75	21474.05	21471.25	21473.75	63	0	250
2024.12.30	03:39:00	21473.85	21473.85	21471.65	21472.55	59	0	250
2024.12.30	03:40:00	21472.95	21475.05	21472.45	21474.95	74	0	250
2024.12.30	03:41:00	21475.75	21478.55	21474.25	21477.95	64	0	260
2024.12.30	03:42:00	21477.85	21479.65	21475.25	21479.65	63	0	190
2024.12.30	03:43:00	21480.05	21480.35	21478.25	21479.85	51	0	170
2024.12.30	03:44:00	21481.25	21482.55	21480.95	21482.15	59	0	170
2024.12.30	03:45:00	21481.95	21482.85	21481.25	21482.55	78	0	170
2024.12.30	03:46:00	21482.65	21485.05	21482.45	21482.55	69	0	160
2024.12.30	03:47:00	21482.75	21482.75	21480.05	21480.85	52	0	160
2024.12.30	03:48:00	21480.55	21483.05	21480.45	21481.65	41	0	150
2024.12.30	03:49:00	21481.25	21484.65	21481.15	21484.65	33	0	150
2024.12.30	03:50:00	21483.75	21486.35	21482.55	21483.25	76	0	150
2024.12.30	03:51:00	21482.75	21484.35	21481.55	21484.35	51	0	150
2024.12.30	03:52:00	21484.45	21491.05	21484.45	21489.15	112	0	160
2024.12.30	03:53:00	21489.25	21491.05	21489.05	21490.45	50	0	220
2024.12.30	03:54:00	21490.25	21490.75	21489.35	21489.65	65	0	230
2024.12.30	03:55:00	21489.45	21489.45	21486.85	21486.95	81	0	240
2024.12.30	03:56:00	21486.95	21486.95	21485.35	21485.55	79	0	260
2024.12.30	03:57:00	21485.75	21487.65	21485.45	21487.15	55	0	200
2024.12.30	03:58:00	21487.15	21487.75	21486.95	21487.35	33	0	180
2024.12.30	03:59:00	21488.65	21488.85	21487.35	21488.65	69	0	180
2024.12.30	04:00:00	21488.65	21488.65	21481.65	21485.15	109	0	170
2024.12.30	04:01:00	21485.25	21485.45	21479.95	21481.05	52	0	200
2024.12.30	04:02:00	21481.05	21483.45	21479.85	21482.45	76	0	210
2024.12.30	04:03:00	21482.15	21484.35	21480.65	21484.15	58	0	220
2024.12.30	04:04:00	21484.25	21484.65	21480.85	21482.05	63	0	230
2024.12.30	04:05:00	21481.95	21490.15	21481.95	21489.85	88	0	180
2024.12.30	04:06:00	21488.45	21490.25	21485.75	21486.45	70	0	190
2024.12.30	04:07:00	21486.55	21489.75	21486.05	21488.05	56	0	210
2024.12.30	04:08:00	21488.05	21489.45	21486.95	21489.45	49	0	210
2024.12.30	04:09:00	21489.95	21490.55	21487.25	21487.25	70	0	200
2024.12.30	04:10:00	21487.35	21490.55	21485.65	21488.75	76	0	210
2024.12.30	04:11:00	21488.85	21490.15	21488.65	21489.75	54	0	200
2024.12.30	04:12:00	21489.35	21489.85	21484.85	21484.85	55	0	180
2024.12.30	04:13:00	21484.85	21485.15	21481.55	21483.25	74	0	200
2024.12.30	04:14:00	21483.05	21483.65	21481.55	21482.55	73	0	210
2024.12.30	04:15:00	21482.65	21485.05	21482.55	21483.85	64	0	180
2024.12.30	04:16:00	21483.75	21483.75	21480.35	21480.75	52	0	180
2024.12.30	04:17:00	21480.85	21480.85	21474.65	21475.65	90	0	200
2024.12.30	04:18:00	21475.55	21479.35	21474.65	21478.15	92	0	240
2024.12.30	04:19:00	21478.05	21478.05	21475.15	21475.95	44	0	230
2024.12.30	04:20:00	21475.85	21478.25	21474.85	21477.85	65	0	230
2024.12.30	04:21:00	21477.95	21478.45	21476.95	21478.05	36	0	210
2024.12.30	04:22:00	21477.65	21480.95	21476.65	21480.55	53	0	170
2024.12.30	04:23:00	21479.55	21479.75	21476.85	21476.85	56	0	170
2024.12.30	04:24:00	21477.35	21478.15	21475.35	21476.95	38	0	190
2024.12.30	04:25:00	21476.85	21479.85	21475.65	21477.05	56	0	180
2024.12.30	04:26:00	21476.85	21477.05	21469.55	21469.65	50	0	200
2024.12.30	04:27:00	21469.85	21474.05	21468.55	21472.15	69	0	220
2024.12.30	04:28:00	21472.35	21474.35	21470.05	21470.05	69	0	220
2024.12.30	04:29:00	21470.15	21471.65	21466.35	21470.95	54	0	230
2024.12.30	04:30:00	21470.85	21471.05	21468.75	21469.45	77	0	250
2024.12.30	04:31:00	21469.75	21474.05	21469.45	21474.05	51	0	250
2024.12.30	04:32:00	21474.75	21475.75	21471.35	21471.85	64	0	240
2024.12.30	04:33:00	21471.75	21472.35	21470.75	21471.45	48	0	210
2024.12.30	04:34:00	21471.15	21473.65	21471.15	21473.05	41	0	190
2024.12.30	04:35:00	21473.05	21474.15	21472.35	21473.95	32	0	160
2024.12.30	04:36:00	21473.75	21477.45	21473.75	21475.85	57	0	150
2024.12.30	04:37:00	21475.85	21476.35	21473.25	21473.75	40	0	150
2024.12.30	04:38:00	21473.55	21475.35	21473.05	21473.85	44	0	150
2024.12.30	04:39:00	21473.85	21474.05	21471.85	21472.05	55	0	150
2024.12.30	04:40:00	21472.25	21476.15	21471.75	21476.15	48	0	150
2024.12.30	04:41:00	21476.95	21477.15	21473.45	21474.45	48	0	160
2024.12.30	04:42:00	21474.25	21476.25	21473.55	21473.55	37	0	170
2024.12.30	04:43:00	21473.85	21474.55	21472.95	21473.55	33	0	180
2024.12.30	04:44:00	21473.55	21473.55	21470.65	21472.45	61	0	180
2024.12.30	04:45:00	21472.15	21475.25	21472.15	21473.75	50	0	160
2024.12.30	04:46:00	21473.95	21474.25	21471.35	21473.45	38	0	160
2024.12.30	04:47:00	21473.65	21473.65	21468.45	21469.85	48	0	160
2024.12.30	04:48:00	21469.65	21469.65	21467.45	21469.45	60	0	170
2024.12.30	04:49:00	21469.45	21469.45	21467.25	21467.25	37	0	170
2024.12.30	04:50:00	21466.75	21467.15	21466.45	21466.95	45	0	160
2024.12.30	04:51:00	21466.75	21470.45	21465.75	21470.15	50	0	160
2024.12.30	04:52:00	21470.25	21470.75	21466.05	21466.25	63	0	160
2024.12.30	04:53:00	21466.35	21469.15	21464.75	21464.85	54	0	160
2024.12.30	04:54:00	21465.05	21465.25	21463.15	21463.55	44	0	190
2024.12.30	04:55:00	21463.55	21466.95	21463.15	21466.35	35	0	190
2024.12.30	04:56:00	21466.45	21469.05	21466.25	21466.65	63	0	180
2024.12.30	04:57:00	21466.45	21466.95	21464.95	21465.85	36	0	170
2024.12.30	04:58:00	21465.95	21467.15	21465.95	21466.95	36	0	160
2024.12.30	04:59:00	21466.75	21469.75	21466.55	21467.75	52	0	150
2024.12.30	05:00:00	21467.35	21467.35	21465.05	21466.15	50	0	170
2024.12.30	05:01:00	21466.25	21466.25	21455.85	21459.85	104	0	170
2024.12.30	05:02:00	21459.75	21461.95	21459.25	21460.45	58	0	250
2024.12.30	05:03:00	21460.15	21461.15	21457.45	21460.65	83	0	270
2024.12.30	05:04:00	21460.45	21462.05	21459.35	21459.35	60	0	260
2024.12.30	05:05:00	21459.35	21462.75	21458.75	21461.65	64	0	270
2024.12.30	05:06:00	21461.75	21465.05	21459.35	21461.75	65	0	230
2024.12.30	05:07:00	21461.95	21465.15	21461.75	21463.25	43	0	240
2024.12.30	05:08:00	21463.25	21463.85	21462.85	21462.85	32	0	220
2024.12.30	05:09:00	21462.95	21465.85	21462.45	21465.55	38	0	200
2024.12.30	05:10:00	21465.65	21466.05	21460.85	21461.75	71	0	190
2024.12.30	05:11:00	21461.55	21461.75	21458.35	21459.45	51	0	170
2024.12.30	05:12:00	21459.85	21459.95	21459.15	21459.45	57	0	170
2024.12.30	05:13:00	21459.85	21459.95	21457.05	21458.05	47	0	170
2024.12.30	05:14:00	21458.05	21458.25	21456.35	21457.55	65	0	180
2024.12.30	05:15:00	21457.65	21460.05	21457.15	21457.35	60	0	180
2024.12.30	05:16:00	21457.45	21461.45	21457.45	21461.25	49	0	170
2024.12.30	05:17:00	21461.15	21464.25	21459.95	21462.95	61	0	170
2024.12.30	05:18:00	21461.45	21462.35	21458.85	21460.45	59	0	210
2024.12.30	05:19:00	21460.35	21462.95	21460.15	21462.85	35	0	220
2024.12.30	05:20:00	21463.45	21467.05	21462.65	21465.35	63	0	210
2024.12.30	05:21:00	21465.45	21466.05	21464.05	21464.65	32	0	210
2024.12.30	05:22:00	21464.45	21465.55	21462.35	21463.35	53	0	190
2024.12.30	05:23:00	21462.95	21463.65	21460.85	21461.25	35	0	170
2024.12.30	05:24:00	21461.95	21464.85	21461.95	21464.85	35	0	170
2024.12.30	05:25:00	21464.95	21465.95	21463.65	21463.75	39	0	160
2024.12.30	05:26:00	21464.05	21465.05	21463.45	21463.65	26	0	160
2024.12.30	05:27:00	21465.15	21465.45	21463.85	21464.75	39	0	160
2024.12.30	05:28:00	21465.25	21467.25	21465.05	21465.25	44	0	150
2024.12.30	05:29:00	21465.65	21465.85	21463.85	21464.65	36	0	170
2024.12.30	05:30:00	21464.75	21468.55	21464.75	21467.95	62	0	170
2024.12.30	05:31:00	21468.05	21468.15	21466.95	21467.15	41	0	180
2024.12.30	05:32:00	21467.05	21467.45	21466.35	21467.45	25	0	170
2024.12.30	05:33:00	21467.35	21468.15	21464.75	21465.95	47	0	170
2024.12.30	05:34:00	21465.95	21466.55	21465.05	21466.25	35	0	160
2024.12.30	05:35:00	21466.15	21467.35	21464.95	21465.85	58	0	150
2024.12.30	05:36:00	21465.85	21468.25	21465.55	21467.05	57	0	150
2024.12.30	05:37:00	21467.25	21470.55	21467.25	21469.25	44	0	150
2024.12.30	05:38:00	21469.15	21470.75	21466.95	21466.95	58	0	160
2024.12.30	05:39:00	21467.25	21467.45	21465.55	21466.15	36	0	160
2024.12.30	05:40:00	21466.25	21469.25	21466.05	21468.75	39	0	160
2024.12.30	05:41:00	21468.25	21469.05	21467.65	21467.65	27	0	160
2024.12.30	05:42:00	21467.15	21470.05	21466.95	21467.65	27	0	160
2024.12.30	05:43:00	21467.45	21469.95	21467.05	21469.75	35	0	150
2024.12.30	05:44:00	21469.65	21470.05	21469.05	21469.95	48	0	150
2024.12.30	05:45:00	21469.55	21469.55	21465.65	21466.25	44	0	150
2024.12.30	05:46:00	21466.45	21467.25	21465.25	21465.75	41	0	160
2024.12.30	05:47:00	21465.75	21469.05	21465.75	21468.75	26	0	150
2024.12.30	05:48:00	21468.15	21468.15	21465.55	21465.75	45	0	160
2024.12.30	05:49:00	21465.75	21466.75	21465.25	21465.45	33	0	160
2024.12.30	05:50:00	21465.25	21466.55	21462.45	21464.05	35	0	150
2024.12.30	05:51:00	21464.15	21464.75	21463.25	21463.75	41	0	160
2024.12.30	05:52:00	21463.65	21463.75	21458.25	21461.25	51	0	150
2024.12.30	05:53:00	21461.25	21461.45	21452.25	21452.25	66	0	160
2024.12.30	05:54:00	21451.85	21458.05	21451.85	21456.55	85	0	240
2024.12.30	05:55:00	21456.15	21457.45	21453.45	21453.75	53	0	260
2024.12.30	05:56:00	21453.95	21455.85	21452.75	21455.25	74	0	260
2024.12.30	05:57:00	21455.45	21455.75	21452.95	21455.25	42	0	270
2024.12.30	05:58:00	21455.15	21459.45	21455.15	21457.15	52	0	200
2024.12.30	05:59:00	21457.25	21458.15	21456.15	21457.35	43	0	180
2024.12.30	06:00:00	21457.35	21461.15	21457.35	21460.05	58	0	180
2024.12.30	06:01:00	21459.75	21460.35	21459.05	21459.55	29	0	180
2024.12.30	06:02:00	21459.65	21460.75	21458.55	21460.75	21	0	170
2024.12.30	06:03:00	21460.75	21461.15	21457.25	21457.55	42	0	160
2024.12.30	06:04:00	21457.75	21461.75	21457.55	21461.25	30	0	160
2024.12.30	06:05:00	21461.95	21462.35	21460.85	21461.85	34	0	150
2024.12.30	06:06:00	21462.05	21465.65	21461.85	21464.95	54	0	150
2024.12.30	06:07:00	21465.55	21467.25	21465.15	21466.05	39	0	160
2024.12.30	06:08:00	21466.25	21467.45	21465.45	21466.95	38	0	160
2024.12.30	06:09:00	21466.75	21467.15	21465.35	21467.15	30	0	160
2024.12.30	06:10:00	21467.45	21467.45	21466.05	21466.25	25	0	160
2024.12.30	06:11:00	21466.25	21468.25	21466.25	21466.85	24	0	150
2024.12.30	06:12:00	21467.05	21467.55	21466.05	21467.35	37	0	150
2024.12.30	06:13:00	21466.75	21466.75	21465.85	21466.05	19	0	150
2024.12.30	06:14:00	21466.05	21466.05	21460.25	21461.55	75	0	150
2024.12.30	06:15:00	21461.45	21462.55	21458.85	21458.85	57	0	180
2024.12.30	06:16:00	21459.05	21460.05	21456.95	21457.65	44	0	190
2024.12.30	06:17:00	21457.15	21458.85	21454.55	21454.65	85	0	190
2024.12.30	06:18:00	21454.65	21454.65	21452.15	21452.15	57	0	210
2024.12.30	06:19:00	21452.25	21458.15	21451.95	21457.95	55	0	180
2024.12.30	06:20:00	21457.85	21459.85	21456.65	21457.55	39	0	180
2024.12.30	06:21:00	21457.55	21461.25	21456.65	21459.25	63	0	180
2024.12.30	06:22:00	21459.05	21460.65	21458.95	21460.35	43	0	190
2024.12.30	06:23:00	21460.05	21460.95	21458.55	21458.65	32	0	180
2024.12.30	06:24:00	21458.35	21458.35	21454.45	21455.05	51	0	180
2024.12.30	06:25:00	21455.35	21456.45	21455.25	21455.75	31	0	190
2024.12.30	06:26:00	21456.15	21456.35	21453.55	21453.95	51	0	180
2024.12.30	06:27:00	21454.15	21455.35	21453.85	21454.15	29	0	170
2024.12.30	06:28:00	21454.15	21455.95	21453.95	21455.85	35	0	170
2024.12.30	06:29:00	21455.95	21455.95	21454.75	21454.95	47	0	150
2024.12.30	06:30:00	21455.05	21459.75	21454.75	21459.05	55	0	150
2024.12.30	06:31:00	21459.25	21460.45	21458.25	21459.45	42	0	160
2024.12.30	06:32:00	21459.55	21460.05	21458.45	21459.25	28	0	160
2024.12.30	06:33:00	21459.15	21462.75	21459.15	21462.25	39	0	160
2024.12.30	06:34:00	21462.45	21464.45	21462.25	21464.25	40	0	160
2024.12.30	06:35:00	21464.55	21465.15	21461.25	21461.45	45	0	150
2024.12.30	06:36:00	21461.55	21461.95	21460.25	21461.55	43	0	160
2024.12.30	06:37:00	21461.95	21464.15	21461.75	21463.75	45	0	160
2024.12.30	06:38:00	21464.05	21464.15	21461.55	21463.05	18	0	160
2024.12.30	06:39:00	21462.75	21463.15	21461.95	21463.05	30	0	160
2024.12.30	06:40:00	21463.15	21465.25	21463.15	21465.25	31	0	150
2024.12.30	06:41:00	21465.35	21465.35	21462.55	21464.25	37	0	150
2024.12.30	06:42:00	21464.45	21465.45	21464.45	21465.25	27	0	150
2024.12.30	06:43:00	21465.45	21465.45	21464.75	21464.95	19	0	150
2024.12.30	06:44:00	21465.05	21468.45	21465.05	21468.45	47	0	150
2024.12.30	06:45:00	21468.55	21472.25	21467.75	21469.75	70	0	150
2024.12.30	06:46:00	21470.25	21472.45	21469.45	21470.35	54	0	200
2024.12.30	06:47:00	21470.35	21470.35	21469.45	21469.65	13	0	230
2024.12.30	06:48:00	21469.55	21471.15	21469.35	21470.35	40	0	230
2024.12.30	06:49:00	21470.35	21470.55	21469.35	21470.25	43	0	240
2024.12.30	06:50:00	21470.55	21472.35	21468.85	21469.55	42	0	180
2024.12.30	06:51:00	21469.45	21469.65	21465.15	21465.25	50	0	160
2024.12.30	06:52:00	21464.05	21464.25	21462.75	21463.15	53	0	160
2024.12.30	06:53:00	21463.15	21466.45	21462.95	21464.45	53	0	170
2024.12.30	06:54:00	21464.55	21465.65	21463.25	21465.65	23	0	170
2024.12.30	06:55:00	21465.45	21466.75	21465.45	21466.25	22	0	160
2024.12.30	06:56:00	21466.25	21466.95	21466.05	21466.55	21	0	150
2024.12.30	06:57:00	21466.55	21466.75	21463.05	21463.75	26	0	150
2024.12.30	06:58:00	21463.55	21465.45	21463.35	21465.25	24	0	150
2024.12.30	06:59:00	21465.35	21466.05	21463.85	21466.05	26	0	150
